name,calories,proteins,fat,carbohydrate
Kacang gude rebus,147,9,0.5,27.5
Kacang hijau kering,323,22.9,1.5,56.8
kacang hijau rebus,109,8.7,0.5,18.3
Kacang hijau var. bakti kering,350,17.1,1.8,70.7
Kacang hijau var. siwalik kering,339,20.8,2.1,64.6
Kacang hitam kering,346,16.6,1.7,66.1
Kacang Ijo,345,22.2,1.2,62.9
Kacang Kapri Goreng ,445,11,11,65.5
Kacang Kapri muda,98,6.7,0.4,17.7
Kacang Kedelai basah,286,30.2,15.6,30.1
Kacang kedelai goreng,521,32.2,37.7,22.9
Kacang kedelai kering,381,40.4,16.7,24.9
Kacang Kedelai kukus,75,4.1,2.1,10.7
Kacang kedelai rebus,189,20.2,8.2,12.7
Kacang kedelai segar,286,30.2,15.6,30.1
Kacang komak segar,327,16.4,4.3,55.8
Kacang kuning kering,355,17,2.5,66
Kacang lebui /iris kering,346,16.5,1.5,66.6
Kacang mekah polong segar,22,1.1,1,3.4
Kacang mentega kering,344,16.7,2.1,64.6
Kacang Merah,336,23.1,1.7,59.5
Kacang merah /banda kering,350,13.9,3,66.9
Kacang merah kering,314,22.1,1.1,56.2
Kacang Merah kering rebus,158,10.3,0.9,28.2
Kacang merah segar,171,11,2.2,28
Kacang Merah segar rebus,144,10,1,24.7
Kacang merah tua kering,280,16.7,1.6,63.2
Kacang mete/biji jambu monyet goreng,629,20.4,56.3,19.8
Kacang mete/biji jambu monyet segar,616,16.3,48.4,28.7
Kacang negara,480,18.4,19.1,58.5
Kacang Panjang,44,2.7,0.3,7.8
Kacang Panjang biji,357,17.3,1.5,70
Kacang Panjang kukus,39,3,0.6,7.6
Kacang Panjang tumis,150,2.5,12.5,7
Kacang ranti polong,37,3.1,0.2,7.9
Kacang sukro,484,8.8,26.1,57.7
Kacang Sukro Putih ,488,25.6,25.6,59.6
Kacang Tanah atom,535,27.8,38.1,28.8
Kacang tanah goreng,564,25.5,44.4,25.5
Kacang Tanah kacang sari,561,25.5,43.8,26
Kacang tanah kering,525,27.9,42.7,17.4
Kacang Tanah Rebus ,385,14,31,13
Kacang Tanah rebus berkulit,360,13.5,31.2,12.8
Kacang Tanah rempeyek,513,17.5,32.5,44.3
Kacang Tanah sangan berselaput,569,28.8,48.4,15.8
Kacang tanah sangan tanpa selaput,559,26.9,44.2,23.6
Kacang tanah sari,561,25.5,43.8,26
Kacang Telur ,748,20.8,20.8,124.8
Kacang tolo / tunggak kering,331,24.4,1.9,56.6
Kacang tolo rebus,138,10.7,1.1,22.6
Kacang Tunggak (tolo),342,22.9,1.4,61.6
Kacang Tunggak rebus,138,10.7,1.1,22.6
Kacang Tunggak rempeyek,451,11.2,20.2,59.7
Kacang tunis kering,351,12.2,1.2,72.9
Kacang uci kering,358,23.4,2.4,60.6
Kacang urei kering,354,12.8,1.8,69.3
Kadada katembe,110,4.5,6.9,7.1
Kaholeo masakan,413,28.7,19.8,29.8
Kakap,92,20,0.7,0
Kalakai,66,2.8,6.8,3.4
Kalio jeroan masakan,163,16.5,9,4.1
Kalio kikil (tunjang) masakan,122,13.8,5.7,3.9
Kalio otak masakan,157,8.1,8.8,11.4
Kalio telur masakan,193,10.6,12.4,9.7
Kambing daging segar,149,16.6,9.2,0
Kambose,164,3,2.4,32.6
Kangkung,29,3,0.3,5.4
Kangkung kukus,30,3.2,0.7,4.7
Kangkung rebus,22,2.5,0.6,3.1
Kangkung tondano,43,1.8,0.2,8.4
Kangkung tumis,52,1.8,3.6,3
Kaparende sayur,38,2.4,2,2.6
Kapri Muda,42,3.3,0.2,9.6
Kapurung,41,2,0.3,7.8
Kapusa,158,4.4,3.2,27.8
Karawila,25,2.3,0.2,3.5
Karedok ,146.7,5.9,5.9,19.7
Karedok sayur,92,2.2,3.3,14.1
Karoket ,292,11.2,11.2,2.8
Katak,73,16.4,0.3,0
Katul Beras,275,12.6,14.8,54.6
Katul Jagung,356,9,8.5,64.5
Kawista segar,120,3.5,2.5,20.8
Kecap,46,5.7,1.3,9
Kecimpring singkong goreng,464,1.2,18.6,73
Kecipir biji,405,32.8,17,36.5
Kecipir buah muda,35,2.9,0.2,0.8
Kecipir muda segar,32,2.9,0.2,5.8
Kecombrang segar,34,0.9,1,6.7
Kedondong segar ,47,0.5,0.2,10.4
Keju,326,22.8,20.3,13.1
Keju Kacang Tanah,590,27,49,20.9
Kelapa hutan kering,623,2,52.1,36.5
Kelapa Muda air,17,0.2,0.1,3.8
Kelapa Muda daging,68,1,0.9,14
Kelapa Setengah Tua daging,180,4,15,10
Kelapa Tua daging,359,3.4,34.7,14
Kelepon ,214,5.4,5.4,40.2
Kelewih,111,1.5,0.3,27.2
Kelinci daging segar,142,16.9,7.8,0
Kemang,48,1,0.2,11.9
Kembang tahu,380,48.9,13.8,23.3
Kembang Turi,44,1.8,0.6,9.6
Kemiri,636,19,63,8
Kenari,657,15,66,13
Kenari banda kering,616,13.9,56.2,13.7
Kentang,83,2,0.1,19.1
Kentang Hitam,142,0.9,0.4,33.7
Keong,64,12,1,2
Kepala Susu (Krim),204,2.6,20,4
Kepiting,151,13.8,3.8,14.1
Kerang,59,18,1.1,3.6
Kerang asap mentah,393,38.9,13.3,29.4
Kerang dendeng mentah,357,41.1,10,25.6
Kerbau daging segar,79,18.7,0.5,0
Keremes,475,1.6,25.5,64.4
Keribang ubi segar,137,1.3,1.1,29.8
Keripik bayam,586,4.9,40.6,50.2
Keripik gadung,446,2.8,14.5,76
Keripik kentang,448,2.7,18.8,67.1
Keripik lampung,485,1.7,22.2,69.7
Keripik oncom,598,8.3,43.8,42.6
Keripik singkong,478,0.9,20.7,72
Keripik singkong berbumbu,481,2.2,19.7,73.6
Keripik tempe,581,12.1,40.6,41.7
Keripik tempe abadi murni,542,40.3,42.4,11.6
Keripik tempe abadi sedang,510,12.3,27.9,52.4
Keripik tempe abadi telur,529,20.8,31.7,40.2
Keripik ubi,486,0.2,23.9,67.6
Kerokot segar,26,1.7,0.4,3.8
Kerupuk Aci,350,0.5,0.2,85.9
Kerupuk cumi goreng,444,6.9,14.6,71.3
Kerupuk Ikan berpati,342,16,0.4,65.6
Kerupuk kemplang  (ikan) mentah,325,1.8,0.4,78.5
Kerupuk kemplang goreng,504,5.6,28.1,57.1
Kerupuk kemplang panggang,356,9.7,1.1,76.9
Kerupuk Kulit kerbau,422,83,4,0
Kerupuk Melinjo mentah,345,12,1.5,71.5
Kerupuk Melinjo tebal goreng asin,431,11.1,16.2,63
Kerupuk Melinjo tebal goreng manis,439,10,16.4,65.7
Kerupuk Melinjo tipis goreng,485,11.5,24.5,59.1
Kerupuk mie kuning goreng,476,0.1,21.1,71.3
Kerupuk Sayong ,46.7,17.3,17.3,81.3
Kerupuk Udang ,340,30,30,52
Kerupuk Udang berpati,359,17.2,68.2,332
Kerupuk udang goreng,477,4.7,20.5,68.5
Kerupuk urat,588,53.7,40.9,1.2
Kesemek,78,0.8,0.4,20
Ketan hitam matang,181,4,1.2,37.3
Ketan putih matang,163,3,0.4,35.7
Ketapang ,340,11,11,54
Ketela Pohon Kuning,157,0.8,0.3,37.9
Ketela singkong segar,154,1,0.3,36.8
Ketela pohon/singkong kukus,153,1.2,0.3,36.4
Ketimun,12,0.7,0.1,2.7
Ketimun madura segar,9,0.5,0.1,1.9
Ketoprak,153,7.9,7.7,13
Ketumbar,404,14.1,16.1,54.2
Ketupat ketan,212,4,4.6,38.6
Ketupat Tahu ,109.6,2.6,2.6,18.6
Kluwek,310,10,24,13.5
Kodok segar,73,16.4,0.3,0
Kokosan,86,1.6,0.2,13
Komak polong segar,99,3.3,0.1,21.2
Kool Kembang,25,2.4,0.2,4.9
Kool Merah kool putih,24,1.4,0.2,5.3
Kopi bagian yang larut,352,17.4,1.3,69
Kopi bubuk instant,129,12.3,0.5,35
Koro andong kering,356,20.5,4.1,61.6
Koro Benguk biji,332,24,3,55
Koro Benguk tempe,141,10.2,1.3,23.2
Koro Kerupuk biji,125,8.3,0.7,22.1
Koro Loke biji,33,2.7,0.2,7.9
Koro Roway biji,344,12.5,2.1,69.4
Koro Wedus biji,338,22.2,1.5,61
Koro Wedus buah muda,38,3,0.3,7.9
Koro wedus polong,46,3,0.3,7.9
Kotiu hinela tawang nggole,46,2.2,1.5,6
Koya,366,4.2,4.3,77.5
Koya mirasa,370,8,1,82.2
Kranji segar,315,2.1,1.4,73.5
Kripik Tempe Goreng ,542,40.3,42.4,11.5
Krokot,21,1.7,0.4,3.8
Kucai,45,2.2,0.3,10.3
Kucai Muda (Lokio),42,3.8,0.6,7.8
Kuda daging segar,113,18.1,4.1,0.9
Kue ali,440,3.8,18.5,64.5
Kue Apem ,186.7,1.6,1.6,39.6
Kue bangket,338,1.5,1.2,80.3
Kue Bugis ,240,1,4,54
Kue jahe,425,1.6,8.8,84.6
Kue kelapa,591,5.6,42.1,47.5
Kue Koya ,366,4.2,4.3,7.9
Kue lumpur,291,3.6,11.1,44.1
Kue mangkok ,182,1,1,40.4
Kue Pacar Cina ,126.7,0.7,0.7,57.3
Kue Pia ,296,1.4,1.4,66.4
Kue putu cangkir,304,5.3,7,54.9
Kue putu singkong,217,1.2,0.5,53.2
Kue Satu ,393.3,2.7,2.7,79.3
Kue Semprong ,380,1,1,92
Kue sus,221,7.5,10.2,24.8
Kue Talam ,180,5,5,32
Kue Tambang ,512,26,26,60.4
Kue thipan,247,2.9,4.2,49.5
Kulit melinjo,111,4.5,1.1,20.7
Kundur segar,22,0.4,0.2,4.7
Kunyit,63,2,2.7,9.1
Kura-kura,83,19.1,0.2,0
Kwaci,515,30.6,42.1,13.8
Kwark (Quark),242,19,17,3
Labu Air,17,0.6,0.2,3.8
Labu kuning segar,51,1.7,0.5,10
Labu Siam,26,0.6,0.1,6.7
Labu waluh segar,32,1.1,0.1,6.6
Laksa ,166.3,2.7,3.9,29.5
Lamtoro (pete cina) biji muda,85,5.7,0.3,15.4
Lamtoro biji tua,148,10.6,0.5,26.2
Lamtoro tempe,142,11,2.5,20.4
Lamtoro var. gung tanpa kulit,367,46.4,5.4,32.5
Lamtoro var. lokal dengan kulit,336,23.8,1.2,59.7
Langsat,56,0.9,0.2,14.3
Lantar segar,34,2.2,0.3,5.5
Lanting getuk,422,0.9,10.8,80.4
Lapis legit,389,6.6,15.7,55.5
Lawar babi masakan,174,17,10,3
Lawar penyu masakan,141,23,1.5,7.6
Lawara jangang masakan,159,5,10.9,10.1
Lawara penjah masakan,207,7.4,15.4,9.6
Ledre pisang,405,4.8,5.1,84.9
Lema/ Rebung asam,15,1,0.4,1.9
Lemak Babi,902,0,100,0
Lemak Babi (Bacon),630,9.1,65,1.1
Lemak ikan,372,12,29.4,14.4
Lemak Kerbau,818,1.5,90,0
Lemon segar,34,0.5,0.8,6.2
Lemon Squasih,36,0,0,10
Lemonade,30,0,0,8
Lemper ,221.3,3.8,3.6,43.4
Lempog durian,320,3.5,5.7,63.7
Lepok/Ubi rumput,181,2.8,1.2,39.8
Leunca buah,33,1.9,0.1,7.4
Leupeut Ketan ,240,7.8,0.5,51.3
Leverwost (sosis hati),387,16,22,3
Lilin bungkus gedi,79,2.3,5.2,5.8
Lobak,19,0.9,0.1,4.2
Lokan segar,217,11,1.7,5.1
Lontar segar,27,0.4,0.2,6
Lopis ,163.3,2.8,2.2,33
Lumai/Leunca segar,38,1.1,0.3,7.6
Lupis ketan,164,1.8,2.1,34.5
Madu,294,0.3,0,79.5
Maizena tepung,341,0.3,0,85
Makaroni,363,8.7,0.4,78.7
Mangga benggala segar,63,2.4,0.4,12.4
Mangga Gedong,44,0.7,0.2,11.2
Mangga Golek,63,0.5,0.2,16.7
Mangga Harum Manis,46,0.4,0.2,11.9
Mangga Indramayu,72,0.8,0.2,18.7
Mangga Kopek,56,0.4,0.2,14.6
Mangga kwini segar,86,0.7,0.5,19.8
Mangga manalagi segar,133,1,0.1,32.1
Mangga Muda,59,0.5,0.4,15.1
Mangga segar,52,0.7,0,12.3
Manggis,63,0.6,0.6,15.6
Margarin,720,0.6,81,0.4
Markisa segar,144,3.5,1.2,29.8
Markisa squash,217,2.5,1,49.6
Markisa squash BD,104,1.2,0.5,23.7
Martabak  manis,265.3,4.7,5.5,49.3
Martabak india,153,4.5,4.2,24.3
Martabak mesir,278,5.1,8.6,45
Martabak Telur ,200,8.9,5.1,29.5
Masekat,369,2.1,7,74.1
Matoa segar,90,1.2,0.1,21.1
Melase,276,0,0.1,71
Melinjo,66,5,0.7,13.3
Melon segar,37,0.6,0.4,7.8
Menjangan daging dendeng mentah,322,55.8,2,22.7
Mentega,725,0.5,81.6,1.4
Menteng,65,1.7,0.2,16.1
Merica,359,11.5,6.8,64.4
Mi basah,88,0.6,3.3,14
Mi golosor,71,0.2,0.8,15.9
Mi kering,339,10,1.7,6.3
Mie aceh rebus,113,3,3.2,18.1
Mie ayam,102,6.2,3.9,10.5
Mie bakso,114,5.3,3,16.4
Mie basah,86,0.6,3.3,14
Mie Bendo,353,0.3,0,88
Mie celon,102,3,2.1,17.8
Mie Goreng ,468,7.6,20.4,62.4
Mie kering,337,7.9,11.8,50
Mie pangsit basah,105,5.9,4.9,9.4
Mie Sagu,190,0.2,0.4,46.5
Minyak Hati Hiu (Eulamia),902,0,100,0
Minyak Ikan,902,0,100,0
Minyak Kacang Tanah,902,0,100,0
Minyak kedelai,883,0,99.9,0
Minyak Kelapa,870,1,98,0
Minyak Kelapa Sawit,902,0,100,0
Minyak Wijen,902,0,100,0
Minyak Zaitun,884,0,100,0
Misoa,345,8.5,2.2,78
Misro ,218,0.8,16,50.2
Moon tahu,128,8,10,1.3
Mostarda metan -sawi,33,2.3,0.5,4.7
Mujahir acar kuning masakan,330,17.8,23.4,12.1
Naan maran sapi masakan,478,38.3,33.9,5.1
Nanas,52,0.4,0.2,13.7
Nanas palembang segar,58,0.7,0.2,13.3
Nangka biji,165,4.2,0.1,36.7
Nangka masak di pohon,106,1.2,0.3,27.6
Nangka Muda,51,2,0.4,11.3
Nasi,180,3,0.3,39.8
Nasi beras merah,149,2.8,0.4,32.5
Nasi gemuk,192,3.8,8.8,24.4
Nasi Goreng ,276,3.2,3.2,30.2
Nasi gurih,190,4.7,7.5,26
Nasi jagung,357,8.8,0.5,79.5
Nasi minyak,207,3.5,5,37.1
Nasi rames,155,10.3,4.2,19.1
Nasi tim,120,2.4,0.4,26
Nasi Uduk ,253.3,4.3,21,11.7
Nasu likku masakan,196,14.5,8.3,15.9
Noga Kacang Tanah ,600,14,41.7,42
Nopia spesial,387,5.3,7.6,74.3
Olah-olah,9,2.1,6,7.1
Oncom,187,13,6,22.6
Oncom ampas kacang hijau,376,14.9,6,65.7
Oncom Goreng ,363.3,19.3,19.3,40.3
Oncom Hitam Goreng ,284,12,14.4,13.6
Oncom Hitam Goreng bertepung ,306.7,9,18,27
Oncom kacang hijau + singkong,351,11,5.3,65.9
Oncom Kacang Tanah pepes,132,12.7,3.8,13.7
Oncom Kedele,187,13,6,22.6
Oncom Merah Goreng ,368,6.8,32,13.2
Oncom Merah Goreng bertepung ,320,7.3,18.7,31
Oncom Merah Sayur (tumis) ,40,2,2,3
Oncom pepes,76,5.2,1.8,10.6
Onde-onde ,288.6,8.3,8.9,44.3
Ongol-ongol ,115,1.5,6,14
Ongol-ongol sagu,111,0.3,2.7,21.2
Opak Singkong ,940,36,42,104
Oramu ninahu ndawa olaho masakan,117,13.7,5,4.3
Otak,125,10.4,8.6,0.8
Oyek,351,0.9,0.9,84.9
Oyek (dari singkong),342,2.3,0.1,83.1
Paku hinela wulelenggapaya,77,3.5,4.6,5.4
Pala biji,494,7.5,36.4,40.1
Pala daging,42,0.3,0.2,10.9
Paniki masak santan masakan,460,28.5,35.2,7.2
Papais ,133.8,3,1.6,27
Papeda,61,0.2,0.1,14.9
Parede baleh masakan,87,10.5,2.5,5.5
Paria (Pare),29,1.1,0.3,6.6
Paria Putih kukus,16,0.8,0.2,3.4
Paria putih segar,19,1,0.4,3.6
Pastel,307,4.5,13.3,42.4
Pati Singkong (tapioka),362,0.5,0.3,86.9
Pe-Cay,23,1.8,0.3,4.5
Peda Ikan Banjar,156,28,4,0
Pelecing kangkung,75,2.5,2.8,10
Pelepah manuk masakan,219,19.7,13.6,4.4
Pempek adaan,162,4.9,3,27.8
Pempek belida,156,4.2,1.4,31.6
Pempek kapal selam,152,4.5,2.3,28.2
Pempek kelesan,211,12.3,6.1,26.6
Pempek kulit,243,5.2,7.3,39.1
Pempek tenggiri,173,7.2,1.2,33.4
Pencok lele masakan,372,7.8,36.3,3.5
Penyu serapah masakan,174,13.1,12.2,2.2
Pepare ular segar,19,0.6,0.1,3.9
Pepaya lodeh,275,11.6,11.6,30.2
Pepaya Muda,26,2.1,0.1,4.9
Pepaya segar,46,0.5,12,12.2
Pepea oncom ampas tahu,76,5.2,1.8,10.6
Permen ,400,0,0,95
Pete Segar,142,10.4,2,22
Peterseli,50,3.7,1,9
Petis Ikan,161,20,0.2,24
Petis Udang,220,15,0.1,40
Petis udang kering,345,23.8,1.4,59.3
Petis udang pasta,220,15,0.9,38
Pilus ,514,1,27.8,647
Pinda masakan,107,15.9,0.6,0.4
Pindang Ikan Banjar,157,28,4.2,0
Pindang Ikan Benggol,170,31,4.2,0
Pindang Ikan Layang,153,30,2.8,0
Pindang Ikan Selar Kecil,142,27,3,0
Pindang kenari masakan,124,9.5,9.6,0
Pisang Ambon,99,1.2,0.2,25.8
Pisang angleng (pisang ampyang) segar,68,1.3,0.2,17.2
Pisang ayam segar,120,1.1,0.2,26.8
Pisang gapi segar ,127,2.1,0.3,31.1
Pisang Goreng ,220,2.3,2.3,6.3
Pisang goroho segar,115,1.9,0.2,27.9
Pisang hijau segar,117,2,0.3,28.9
Pisang kayu segar,100,1.4,0.5,23.6
Pisang kepok segar,109,0.8,0.5,26.3
Pisang ketip segar,145,1.1,0.3,34.5
Pisang kidang segar,96,1,0.2,22.5
Pisang Lampung,99,1.3,0.2,25.6
Pisang Mas,127,1.4,0.2,33.6
Pisang mas bali,127,1.4,0.2,31.8
Pisang Oli,134,1.1,0.5,35.5
Pisang Raja,120,1.2,0.2,31.8
Pisang Raja Sere (Susu),118,1.2,0.2,31.1
Pisang rotan segar,98,1.3,1.2,20.5
Pisang Siam goreng,625,1,0,8.1
Pisang talas segar,113,1.2,0.2,26.7
Prey (bawang daun),45,2.2,0.3,10.3
Pucuk lumai/daun leunca segar,33,4.5,0.4,2.8
Pulut,216,2.6,3.1,44.4
Punai daging goreng,224,26.2,11.3,4.4
Pundut nasi,104,1.9,4.1,15.1
Purundawa,25,1.5,0.5,3.6
Purut segar,76,4.1,1.1,15.2
Putri malu segar,76,3.6,0.3,14.6
Putri selat,163,2.2,6.5,23.8
Putu Mayang ,200,1,2.4,43.8
Ragi,136,43,2.4,3
Rajungan segar,76,12.1,2,2.4
Rambutan,69,0.9,0.1,18.1
Rambutan Aceh,11,0,0,2.7
Rambutan binjai segar,76,0.5,0.2,18
Rambutan sinyonya,4,0,0,0.9
Rarawuan ,295,7.3,8.5,47.5
Rasbi (Beras Ubi),394,2.2,8.8,76.6
Rasi (Beras Singkong),350,0.9,0.4,85.7
Rawon masakan,60,5.4,2.5,4
Rebon (udang kecil segar),81,16.2,1.2,0.7
Rebon kering,299,29.4,3.6,3.2
Rebon udang kecil segar,81,16.2,1.2,0.7
Rebung,27,0.6,0.3,5.2
Rebung laut mentah,320,7.2,4.2,63.3
Rempeyek kacang tolo,451,11.2,20.2,59.7
Rempeyek kacang uci,497,17,27.6,50.8
Rendang sapi masakan,193,22.6,7.9,7.8
Renggi goreng,471,4.7,21.8,64.1
Rimbang segar,75,1.6,0.6,15.8
Risoles ,335,5.3,3.5,70.5
Roti boong,341,5.5,16.2,43.3
Roti Gambang ,350,7.5,2,75.5
Roti Putih,248,8,1.2,50
Roti warna sawo matang,249,7.9,1.5,49.7
Rujak cingur,153,11.3,8.4,8
Rumput laut,41,1.4,0.3,8.1
Rusa daging dendeng mentah,536,40.5,41.5,0
Rusip,110,11.5,2,11.7
RW anjing masakan,198,24.6,10.7,0.9
Saga biji tanpa kulit,449,30.6,25.5,31.9
Sagu Ambon ,338,0.6,0.3,83.1
Sagu aren kering,355,0.6,1.1,85.6
Sagu aren segar,231,0.6,0.2,56.6
Sagu forno,291,0.5,4,63.4
Sagu kasbi segar,230,0.6,0.2,56.5
Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8
Sagu lempeng,347,0.9,0.3,85.2
Sagu Rendang,364,0.1,0.2,90.5
Sagu singkong kering,362,0.5,0.3,86.9
Sagu sinole,354,0.8,8.3,68.9
Salak bali segar,57,0.5,0.1,13.6
Salak medan segar,55,0.4,0.2,12.8
Salak pondoh segar,87,0.8,0.4,20.1
Sale pisang siam,281,2.4,0.7,66.1
Santan (dengan air),122,2,10,7.6
Santan (kelapa saja),324,4.2,34.3,55.6
Santan murni,324,4.2,34.3,5.6
Saos Tomat,98,2,0.4,24.5
Sapi abon,212,18,10.6,59.3
Sapi babat segar,108,17.6,4.2,0
Sapi daging asap,182,32,6,0
Sapi daging dendeng mentah,301,55,9,0
Sapi daging gemuk segar,273,17.5,22,0
Sapi daging kornet,289,16,25,0
Sapi daging kurus segar,174,19.6,10,0
Sapi daging lemak sedang segar,201,18.8,14,0
Sapi daging sosis (Worst),448,14.5,42.3,2.3
Sapi daleman segar,183,12,14.4,1.4
Sapi dideh/darah,98,21.9,1.1,0
Sapi ginjal segar,137,15,8.1,0.9
Sapi hati sosis (liverworst),274,16,22,3
Sapi keleponan segar,84,10.5,4.6,0.2
Sapi liver segar,132,19.7,3.2,6
Sapi otak segar,123,10.4,8.6,0.8
Sapi paru dendeng mentah,360,57.3,6,19.2
Sapi paru goreng,268,23.9,12.7,14.5
Sapi usus segar,126,14,7.2,1.5
Sarang Burung,281,37.5,0.3,32.1
Sardines dalam kaleng,338,21.1,27,1
Sari Kedelai bubuk,344,30,20,43
Sarimuka,166,2.3,2.8,32.9
Sate Bandeng,283,12.1,16.8,20.9
Sate Kulit ,110,15.5,0.5,11.5
Sate penyu masakan,179,22.5,3.5,13.3
Sate pusut masakan,274,12.9,18.6,13.6
Sate Usus ,126.7,14,7.3,1.3
Sawi,22,2.3,0.3,4
Sawi putih / pecai segar,9,1,0.1,1.7
Sawi taiwan segar,30,1.9,0.5,4.4
Sawi tanah segar,19,1.3,0.2,2.9
Sawo,92,0.5,1.1,22.4
Sawo duren segar,64,1,3.1,8
Sawo kecik segar,111,0.9,2.3,21.6
Sawo Manila segar,92,0.5,1.1,22.4
Sayur asem,29,0.7,0.6,5
Sayur bunga pepaya,49,1.7,0.3,9.8
Sayur garu,178,2.6,13.9,10.6
Sayur kohu-kohu,133,7.3,6.6,11.2
Sayur lebui,64,2.1,0.6,12.5
Sayur lilin-terubuk,36,2.7,0.7,4.8
Sayur ndusuk,49,3.1,2.5,3.6
Sayur sop,27,1.3,2,1
Sayur umbut kelapa,67,5.2,2.9,5.1
Sayur umbut rotan,57,5.4,2.6,3.1
Selada,15,1.2,0.2,2.9
Selada Air,17,1.7,0.3,3
Selada Air rebus,19,2.7,0.2,2.9
Seledri,20,1,0.1,4.6
Semangka,28,0.5,0.2,6.9
Semur Jengkol ,192.5,4.5,6,30.3
Sente,64,0.6,0.3,14.8
Sente talas segar,353,0.7,0.2,84.7
Sepi masakan,88,7.9,1.6,10.6
Serbuk Coklat,298,8,23.8,48.9
Serimping talas kebumen,478,2.5,21.2,69.2
Setrup sirup,213,0,0,55
Shabu-shabu,88,3.2,8,0.8
Sie reuboh masakan,474,11.2,42.5,11.7
Singkah (rotan muda),81,5.1,4.5,5.1
Singkong Goreng ,285,1,18,28
Singkong kukus,146,1.2,0.3,34.7
Singkong tape,173,0.5,0.1,42.5
Siomay ,95.3,4.4,2.2,14.4
Sirsak,65,1,0.3,16.3
Sirup,213,0,0,55
Sop buntut masakan,71,7.5,3.6,2.2
Sop daging sapi masakan,49,5.8,0.5,5.3
Sop kaki sapi masakan,68,9,1.9,3.7
Sop kambing masakan,34,5.5,0.8,1.1
Sop konro masakan,71,7.4,2.6,4.5
Sop Kool,12,0.5,0.1,2
Sop Kool dan Wortel,15,0.6,0.1,3.1
Sop saudara masakan,89,7.2,5,3.9
Soto bandung masakan,42,3.9,1.7,2.8
Soto banjar masakan,110,2.9,9.5,3.2
Soto betawi masakan,135,2.5,8.8,11.5
Soto dengan Daging,127.5,2.6,9.4,8.3
Soto jeroan masakan,92,11.8,4.3,1.4
Soto kudus masakan,38,2.6,2.3,1.8
Soto madura masakan,60,3.5,4.5,1.3
Soto padang masakan,127,5.9,6.6,11
Soto pekalongan masakan,94,3,6.8,5.1
Soto pemalang masakan,75,3.6,5.2,3.5
Soto sukaraja masakan,80,3.2,3.5,9
Soto sulung masakan,86,2.3,8.5,0
Soto tanpa Daging ,117.1,0.4,8.6,9.6
Spaghetti,139,7.4,2.1,22.6
Srikaya,101,1.7,0.6,35.2
Sukiyaki masakan,75,5.6,0.4,12.2
Sukun muda segar,119,1.4,0.2,28.1
Sukun tua segar,126,1.6,0.2,24.5
Susu asam untuk bayi bubuk,418,19,9,65.5
Susu bubuk,513,24.6,30,36.2
Susu Kambing,64,4.3,2.3,6.6
Susu Kedelai,41,3.5,2.5,5
Susu Kental Manis,336,8.2,10,55
Susu Kental Tak Manis,138,7,7.9,9.9
Susu Kerbau,160,6.3,12,7.1
Susu Sapi,61,3.2,3.5,4.3
Susu Skim (tak berlemak),36,3.5,0.1,5.1
Susu skim bubuk,359,35.6,1,52
Susu skim segar,36,3.5,0.1,5.1
Susupan,87,5.3,5.2,6.3
Suweg kukus,90,1.5,0.1,21.9
Suweg mentah,69,1,0.1,15.7
Suweg talas segar,74,1.4,0.1,17.2
Suwir-suwir,347,0.5,0.9,84.2
Tahu,68,7.8,4.6,1.6
Tahu goreng,115,9.7,8.5,2.5
Tahu telur,328,12.6,19.9,24.6
Takwa,148,13.8,8.5,4
Talas bogor kukus,120,1.5,0.3,28.2
Talas pontianak segar,163,2.3,0.5,36.4
Talas viqueque segar,115,1.8,0.5,25.9
Tales kukus,120,1.5,0.3,28.2
Tales mentah,98,1.9,0.2,23.7
Taoco,166,10.4,4.9,24.1
Taoge goreng,88,3.2,2.1,14
Taoge kacang kedelai segar,76,9,2.6,6.4
Taoge seduh,28,3,0.8,4
Taoge segar,34,3.7,1.2,4.3
Taokoa,104,12.9,6.8,1.2
Tapai beras,99,1.7,0.3,22.4
Tapai ketan hitam,166,3.8,1,34.4
Tapai ketan putih,172,3,0.5,37.5
Tapai singkong,169,1.4,0.3,40.2
Tauco cap DAS cake,358,7.5,4.3,70.4
Tauji cap singa,277,9.1,4.7,49.6
Tebu Terubuk,25,4.6,0.4,3
Tedong pallu basa masakan,83,10.4,3.4,2.8
Teh,132,19.5,0.7,67.8
Teh hijau daun kering,300,28.3,4.8,53.6
Teh melati daun kering,299,24.1,3.5,59
Tekokak,34,2,0.1,7.9
Tekokak kering,294,8.3,1.7,72.6
Tekwan,53,1.9,0.9,9.4
Telur Ayam,162,12.8,11.5,0.7
Telur Ayam bagian kuning,361,19.3,31.9,0.7
Telur Ayam bagian putih,50,10.8,0,0.8
Telur Ayam ceplok,383,15.1,32.9,8.3
Telur Ayam dadar,251,16.3,19.4,1.4
Telur ayam kampung ,179,13.6,13.3,4.4
Telur bebek bagian kuning segar,386,17,35,0.8
Telur Bebek bagian putih,54,11,0,0.8
Telur bebek bagian putih segar,54,11,0,0.8
Telur Bebek ceplok,320,15.1,30.5,0.9
Telur Bebek dadar,301,20,23.7,0
Telur bebek tambak segar,187,10.9,12.4,7.9
Telur Bebek telur asin,195,13.6,13.6,1.4
Telur burung puyuh segar,116,10.7,7,1.6
Telur Penyu,144,12,10.2,0
Telur Terubuk,425,31,28,10
